STARTDATE,LOCNAME,COUNTRYID,LOCPRESENT
05-11-1986 00:00,Abu Salam,SU,1
05-11-1986 00:00, ,SU,1
05-11-1986 00:00, ,SU,1
05-12-1986 00:00, ,MR,2
30-10-1986 00:00, ,AG,2
28-05-1986 00:00, ,AG,1
28-05-1986 00:00, ,AG,1
25-10-1986 00:00, ,NG,2
15-04-1986 00:00,Thol,SA,1
25-04-1986 00:00,Thol,SA,1
25-04-1986 00:00,Usfan,SA,1
15-02-1986 00:00,Jahfa,SA,1
25-12-1986 00:00,Goz Ragab,SU,1
25-12-1986 00:00,Baaluk,SU,1
15-12-1986 00:00,Abu Kurmut,SU,1
25-12-1986 00:00,Abu Ushar,SU,1
25-02-1986 00:00,Sararat Serimitai,SU,1
10-09-1986 00:00, ,SU,1
10-09-1986 00:00, ,SU,1
15-09-1986 00:00, ,SU,1
25-12-1986 00:00,El Garaa,SU,1
25-12-1986 00:00,Aoarama,SU,1
15-11-1986 00:00,Khor Dirbab,SU,1
15-11-1986 00:00,Khor Hamtab,SU,1
15-11-1986 00:00,Khor Titimla,SU,1
15-11-1986 00:00,Khor Hameireb,SU,1
15-11-1986 00:00,Khor Hamokeb,SU,1
15-11-1986 00:00,Jebel Humai Aiteb,SU,1
15-11-1986 00:00,Ed Damer,SU,1
15-11-1986 00:00,BARBAR,SU,1
25-11-1986 00:00, ,SU,1
25-11-1986 00:00,Lashoob,SU,1
25-11-1986 00:00,Bayouda (desert),SU,1
25-11-1986 00:00,Karima district,SU,1
25-11-1986 00:00,Wadi Arab,SU,1
25-11-1986 00:00,North Darfur Provinc,SU,1
25-11-1986 00:00,El Hebika,SU,1
25-11-1986 00:00,Abu Teleih,SU,1
25-11-1986 00:00,Abu Ushush,SU,1
05-12-1986 00:00,Ed Debba,SU,1
05-12-1986 00:00,MARAWI,SU,1
05-11-1986 00:00,Abu Salanr,SU,1
09-03-1986 00:00, ,SU,1
25-10-1986 00:00, ,ML,2
15-10-1986 00:00, ,NG,2
01-03-1986 00:00,Suakin,SU,1
01-03-1986 00:00, ,SU,1
15-12-1986 00:00,Abour Arish,SA,1
15-12-1986 00:00,Taif,SA,1
15-07-1986 00:00,Teima,SA,1
25-10-1986 00:00,Oued Ghassem,AG,1
13-10-1986 00:00,Tasankolo,NG,1
14-10-1986 00:00,Ekecheker,NG,1
27-05-1986 00:00, ,AG,1
27-05-1986 00:00, ,AG,1
17-05-1986 00:00,Oued Ireliane,AG,1
25-12-1986 00:00,Abu Hindi,SU,1
15-08-1986 00:00, ,SU,1
05-09-1986 00:00, ,SU,1
28-08-1986 00:00,Jebel Tamarat,SU,1
28-08-1986 00:00,Jebel Kabon Sherifi,SU,1
16-02-1986 00:00, ,SU,1
18-02-1986 00:00, ,SU,1
27-02-1986 00:00, ,SU,1
05-03-1986 00:00, ,SU,1
15-07-1986 00:00,SAUDI ARABIA,SA,1
15-07-1986 00:00,Quwaiiyah,SA,1
11-11-1986 00:00, ,NG,2
13-11-1986 00:00, ,NG,2
08-11-1986 00:00, ,NG,2
25-11-1986 00:00, ,NG,2
25-11-1986 00:00, ,NG,2
15-12-1986 00:00,Medina,SA,1
15-12-1986 00:00,SAUDI ARABIA,SA,1
20-02-1986 00:00,Gashamir,EG,1
20-02-1986 00:00,Wadi El Dieb,EG,1
02-08-1986 00:00,Hassi Laabid,AG,1
02-08-1986 00:00,Hassi Ghanem,AG,1
06-04-1986 00:00,Badr (Badr Hunayn),SA,1
07-04-1986 00:00,Badr (Badr Hunayn),SA,1
08-04-1986 00:00,Badr (Badr Hunayn),SA,1
09-04-1986 00:00,"Marij, Wadi Al",SA,1
11-04-1986 00:00,Nagel,SA,1
07-04-1986 00:00,"Jafa, Bir Al (WLL)",SA,1
12-04-1986 00:00,Badr (Badr Hunayn),SA,1
13-04-1986 00:00,Badr (Badr Hunayn),SA,1
14-04-1986 00:00,"Marij, Wadi Al",SA,1
01-03-1986 00:00,Umm Lajj,SA,1
25-10-1986 00:00, ,SU,1
05-11-1986 00:00, ,SU,1
05-11-1986 00:00, ,SU,1
05-11-1986 00:00,K. Odi,SU,1
05-11-1986 00:00, ,SU,1
05-11-1986 00:00,Abu Sideir,SU,1
17-08-1986 00:00, ,YE,1
13-10-1986 00:00,Arqah,YE,1
13-10-1986 00:00,Masib,YE,1
15-10-1986 00:00, ,YE,1
25-11-1986 00:00,Arqah,YE,1
05-11-1986 00:00,Ungwazeri,SU,1
05-11-1986 00:00,Gadamai,SU,1
05-04-1986 00:00,Abu Ramad,SU,1
05-11-1986 00:00, ,SU,1
05-11-1986 00:00,Abu Sayala,SU,1
05-11-1986 00:00,SHENDI,SU,1
15-11-1986 00:00,Baiyuda,SU,1
25-11-1986 00:00, ,SU,1
15-04-1986 00:00, ,SU,1
23-02-1986 00:00,Khor Ashat,SU,1
19-04-1986 00:00, ,SU,1
05-04-1986 00:00,Yanbu,SA,1
06-04-1986 00:00,Jabal Radwa,SA,1
07-03-1986 00:00,Nuwaiba,SA,1
08-03-1986 00:00,Rabigh,SA,1
09-03-1986 00:00,Rabigh,SA,1
10-03-1986 00:00,Nuwaiba,SA,1
11-03-1986 00:00,Nuweiba,EG,1
12-03-1986 00:00,Rabigh,SA,1
17-11-1986 00:00, ,MR,2
26-11-1986 00:00, ,MR,2
29-11-1986 00:00, ,MR,2
05-10-1986 00:00, ,NG,2
17-10-1986 00:00, ,NG,2
16-10-1986 00:00, ,NG,2
25-10-1986 00:00, ,NG,2
29-10-1986 00:00, ,NG,2
05-10-1986 00:00, ,NG,2
23-03-1986 00:00,El Asafarah,SA,1
17-03-1986 00:00,"Marij, Wadi Al",SA,1
12-03-1986 00:00,"Marij, Wadi Al",SA,1
18-03-1986 00:00,Badr (Badr Hunayn),SA,1
19-03-1986 00:00,Badr (Badr Hunayn),SA,1
22-03-1986 00:00,Badr (Badr Hunayn),SA,1
17-11-1986 00:00, ,MR,2
26-11-1986 00:00, ,MR,2
29-11-1986 00:00, ,MR,2
17-11-1986 00:00, ,MR,2
23-10-1986 00:00, ,NG,2
17-10-1986 00:00, ,NG,2
18-10-1986 00:00, ,NG,2
25-10-1986 00:00, ,NG,2
01-06-1986 00:00,Quwaiiyah,SA,1
13-10-1986 00:00, ,ML,2
01-03-1986 00:00,Umm Lajj,SA,1
02-03-1986 00:00,Yenbo,SA,1
03-03-1986 00:00,Yenbo,SA,1
08-03-1986 00:00,Yenbo,SA,1
09-03-1986 00:00,Yenbo,SA,1
11-03-1986 00:00,Yenbo,SA,1
13-03-1986 00:00,Badr (Badr Hunayn),SA,1
23-03-1986 00:00,"Marij, Wadi Al",SA,1
13-03-1986 00:00,"Marij, Wadi Al",SA,1
24-03-1986 00:00,Badr (Badr Hunayn),SA,1
18-10-1986 00:00, ,NG,2
16-10-1986 00:00, ,NG,2
01-06-1986 00:00,Dawadami,SA,1
02-06-1986 00:00,Dawadami,SA,1
04-06-1986 00:00,Ash Shara,SA,1
05-06-1986 00:00,Dawadami,SA,1
06-06-1986 00:00,Dawadami,SA,1
12-03-1986 00:00,Nuwaiba,SA,1
25-10-1986 00:00, ,ML,2
23-10-1986 00:00, ,ML,2
02-03-1986 00:00,Umm Lajj,SA,1
03-03-1986 00:00,Umm Lajj,SA,1
08-03-1986 00:00,Umm Lajj,SA,1
04-03-1986 00:00,Badr (Badr Hunayn),SA,1
07-06-1986 00:00,Dawadami,SA,1
08-06-1986 00:00,Arjah,SA,1
09-06-1986 00:00,Dawadami,SA,1
13-11-1986 00:00, ,NG,2
17-10-1986 00:00, ,NG,2
27-01-1986 00:00,Wadi El Dieb,EG,1
05-04-1986 00:00,Abu Ramad,EG,1
17-03-1986 00:00, ,SA,1
17-03-1986 00:00,Yanbu,SA,1
22-03-1986 00:00,Yanbu,SA,1
23-03-1986 00:00,Yanbu,SA,1
27-03-1986 00:00,Daba,SA,1
16-03-1986 00:00,Umlej,SA,1
12-03-1986 00:00,Umlej,SA,1
17-03-1986 00:00,Umlej,SA,1
10-06-1986 00:00,Dawadami,SA,1
11-06-1986 00:00,Dawadami,SA,1
12-06-1986 00:00,Dawadami,SA,1
13-06-1986 00:00,Dawadami,SA,1
13-03-1986 00:00,Umlej,SA,1
19-03-1986 00:00,Umlej,SA,1
08-03-1986 00:00,Umlej,SA,1
20-03-1986 00:00,Umlej,SA,1
14-03-1986 00:00,Umlej,SA,1
21-03-1986 00:00,Umlejj,SA,1
15-03-1986 00:00,Umlej,SA,1
22-03-1986 00:00,Umlej,SA,1
24-05-1986 00:00,Taif,SA,1
25-05-1986 00:00,Taif,SA,1
26-05-1986 00:00,Taif,SA,1
27-05-1986 00:00,Taif,SA,1
28-05-1986 00:00,Taif,SA,1
31-05-1986 00:00,Taif,SA,1
15-12-1986 00:00,JIZAN,SA,1
15-03-1986 00:00,Badr (Badr Hunayn),SA,1
25-03-1986 00:00,Badr (Badr Hunayn),SA,1
17-03-1986 00:00,Badr (Badr Hunayn),SA,1
26-03-1986 00:00,Badr (Badr Hunayn),SA,1
28-03-1986 00:00,Badr (Badr Hunayn),SA,1
29-03-1986 00:00,"Marij, Wadi Al",SA,1
29-05-1986 00:00,HAIL,SA,1
15-04-1986 00:00, ,SU,1
25-03-1986 00:00, ,SU,1
02-10-1986 00:00, ,NG,2
23-10-1986 00:00, ,NG,2
10-10-1986 00:00, ,ML,2
18-10-1986 00:00, ,NG,2
28-12-1986 00:00,Qunfidah,SA,1
13-10-1986 00:00, ,ML,2
25-10-1986 00:00, ,ML,2
26-10-1986 00:00, ,AG,2
13-10-1986 00:00, ,NG,2
05-01-1986 00:00, ,SA,1
13-10-1986 00:00, ,NG,2
19-10-1986 00:00, ,NG,2
14-10-1986 00:00, ,NG,2
29-10-1986 00:00, ,NG,2
15-10-1986 00:00, ,NG,2
19-10-1986 00:00, ,NG,2
23-10-1986 00:00, ,NG,2
21-10-1986 00:00, ,NG,2
18-10-1986 00:00, ,NG,2
17-10-1986 00:00, ,NG,2
15-10-1986 00:00, ,NG,2
15-10-1986 00:00, ,NG,2
23-10-1986 00:00, ,NG,2
18-10-1986 00:00, ,NG,2
14-10-1986 00:00, ,NG,2
17-10-1986 00:00, ,NG,2
30-10-1986 00:00, ,NG,2
01-04-1986 00:00,Badr (Badr Hunayn),SA,1
02-04-1986 00:00,Nagel,SA,1
07-04-1986 00:00,Daba,SA,1
02-04-1986 00:00,"Jafa, Bir Al (WLL)",SA,1
03-04-1986 00:00,Yanbu,SA,1
05-04-1986 00:00,"Jafa, Bir Al (WLL)",SA,1
06-04-1986 00:00,Rabigh,SA,1
15-01-1986 00:00,Hali (OAS),SA,1
03-04-1986 00:00,Nagel,SA,1
04-04-1986 00:00,Badr (Badr Hunayn),SA,1
05-04-1986 00:00,Badr (Badr Hunayn),SA,1
05-12-1986 00:00,"Omli, Khawr",SU,1
05-12-1986 00:00,Airbab,SU,1
20-11-1986 00:00, ,SU,1
22-11-1986 00:00,Dirbab,SU,1
12-12-1986 00:00,El Geneid Scheme,SU,1
15-12-1986 00:00,Sennar,SU,1
25-12-1986 00:00,Umm Rus,SU,1
25-12-1986 00:00,Kalalab,SU,1
